job_name	job_id	sample_name	sample_id	date_string
JA19060	126508009	14	252051869	2019-04-13.17_41_37
JA19060	126508009	17	252051870	2019-04-13.17_41_59
JA19060	126508009	39	252051871	2019-04-13.17_45_12
JA19051	126508010	SARWAE1	252053857	2019-04-13.17_39_59
JA19060	126508009	28	252053858	2019-04-13.17_43_48
JA19060	126508009	19	252054860	2019-04-13.17_42_14
JA19060	126508009	43	252054861	2019-04-13.17_45_42
JA19060	126508009	34	252055857	2019-04-13.17_44_37
JA19060	126508009	37	252055858	2019-04-13.17_44_56
JA19060	126508009	41	252055859	2019-04-13.17_45_31
JA19074	126508014	p1815_BP01	252055860	2019-04-13.17_46_15
JA19060	126508009	15	252056828	2019-04-13.17_41_42
JA19060	126508009	26	252056829	2019-04-13.17_43_15
JA19060	126508009	32	252056830	2019-04-13.17_44_21
JA19060	126508009	46	252056831	2019-04-13.17_46_02
JA19060	126508009	47	252056832	2019-04-13.17_46_08
JA19060	126508009	18	252057853	2019-04-13.17_42_08
JA19060	126508009	22	252058846	2019-04-13.17_42_42
JA19060	126508009	20	252059844	2019-04-13.17_42_22
JA19060	126508009	24	252060847	2019-04-13.17_42_59
JA19060	126508009	42	252061843	2019-04-13.17_45_36
JA19074	126508014	p1815_BP02	252061844	2019-04-13.17_48_04
JA19113	126508011	SARWAE2	252061845	2019-04-13.17_52_01
JA19060	126508009	31	252062847	2019-04-13.17_44_16
JA19060	126508009	33	252063849	2019-04-13.17_44_29
JA19060	126508009	36	252063850	2019-04-13.17_44_50
JA19060	126508009	38	252063851	2019-04-13.17_45_03
JA19060	126508009	23	252064851	2019-04-13.17_42_48
JA19060	126508009	21	252065841	2019-04-13.17_42_31
JA19060	126508009	30	252065842	2019-04-13.17_44_06
JA19060	126508009	45	252065843	2019-04-13.17_45_55
JA19060	126508009	16	252067824	2019-04-13.17_41_51
JA19060	126508009	13	252068820	2019-04-13.17_41_27
JA19060	126508009	40	252068821	2019-04-13.17_45_19
JA19060	126508009	44	252068822	2019-04-13.17_45_47
JA19115	126508013	SARWAE4	252068825	2019-04-13.17_55_17
JA19060	126508009	25	252069818	2019-04-13.17_43_06
JA19060	126508009	27	252069819	2019-04-13.17_43_20
JA19060	126508009	29	252069820	2019-04-13.17_43_55
JA19060	126508009	35	252069821	2019-04-13.17_44_42
JA19074	126508014	p1815_BP03	252069825	2019-04-13.17_50_01
JA19114	126508012	SARWAE3	252069828	2019-04-13.17_53_46
		Undetermined from 190411_D00289_0050_BCDLW9ANXX	252070822	2019-04-13.17_57_07
